track_name,artist_name,genre,year,tempo,acousticness,energy,valence,tags
Echoes of Light,Sixty Miles Ahead,Folk,1992,172,0.6,0.25,0.14,"melancholic, fast, instrumental"
Motion of Time,Broke For Free,Blues,1995,132,0.38,0.4,0.23,"melancholic, fast"
Colors from Within,Jahzzar,Soul,1975,98,0.12,0.15,0.58,neutral
Dreams in Shadows,Sixty Miles Ahead,Reggae,1973,130,0.81,0.77,0.76,"acoustic, energetic, happy"
Midnight of Time,Lobo Loco,Jazz,1978,153,0.37,0.75,0.95,"energetic, happy, fast"
Serenity in Blue,Chris Zabriskie,Electronic,2002,131,0.07,0.47,0.88,"happy, fast"
Reflections in Shadows,Unheard Music Concepts,Rock,2016,141,0.11,0.93,0.77,"energetic, happy, fast"
Midnight in Blue,Blue Dot Sessions,Country,2021,137,0.06,0.9,0.65,"energetic, happy, fast"
Dreams of Light,Ryan Little,Hip-Hop,2014,172,0.22,0.82,0.68,"energetic, happy, fast"
Sunset of Hope,Crowander,World,1980,159,0.55,0.66,0.59,fast
Colors of Hope,Chris Zabriskie,Experimental,2017,76,0.5,0.96,0.0,"energetic, melancholic, slow"
Colors in Blue,Scott Holmes,Reggae,1977,176,0.2,0.77,0.79,"energetic, happy, fast"
Sunset in Shadows,Dexter Britain,Pop,2015,113,0.13,0.86,0.37,energetic
Midnight in Motion,Loyalty Freak Music,Folk,1992,173,0.47,0.49,0.8,"happy, fast, instrumental"
Voices of Time,Dexter Britain,Electronic,1997,109,0.62,0.94,0.99,"energetic, happy"
Midnight of the Sea,Steve Combs,Hip-Hop,2000,162,0.49,0.79,0.33,"energetic, fast"
Dreams of Hope,FMA Allstars,Blues,2016,143,0.51,0.5,0.93,"happy, fast"
Echoes of Silence,Lobo Loco,Soul,2015,157,0.92,0.87,0.77,"acoustic, energetic, happy, fast"
Dreams of Light,Unheard Music Concepts,Blues,2003,67,0.84,0.14,0.27,"acoustic, melancholic, slow"
Colors Awakening,Lobo Loco,Reggae,1997,172,0.75,0.41,0.31,"acoustic, fast"
Echoes of Silence,Kevin MacLeod,Rock,2012,94,0.4,0.56,0.85,happy
Lost in Motion,HoliznaCC0,Instrumental,2008,138,0.57,0.82,0.14,"energetic, melancholic, fast"
Serenity of the Sea,Loyalty Freak Music,Instrumental,2013,97,0.73,0.83,0.8,"acoustic, energetic, happy"
Echoes in Blue,FMA Allstars,Pop,2000,92,0.44,0.37,0.23,melancholic
Serenity Awakening,Kai Engel,Jazz,1995,89,0.05,0.56,0.27,melancholic
Lost of Hope,Crowander,Electronic,2004,160,0.67,0.44,0.7,"happy, fast"
Reflections in Shadows,Ryan Little,Classical,2008,131,0.87,0.26,0.89,"acoustic, happy, fast, instrumental"
Midnight of Hope,Dexter Britain,Rock,1974,110,0.31,0.14,0.75,happy
Motion of Time,Sergey Cheremisinov,World,2016,161,0.79,0.54,0.9,"acoustic, happy, fast"
Reflections of Silence,Fleslit,Blues,1994,139,0.72,0.69,0.9,"acoustic, happy, fast"
Rhythm of Light,Unheard Music Concepts,Experimental,2019,74,0.64,0.71,0.53,"energetic, slow"
Rhythm of Time,FMA Allstars,Hip-Hop,2001,144,0.03,0.8,0.6,"energetic, fast"
Reflections of Silence,Josh Woodward,Instrumental,2003,138,0.01,0.74,0.3,"energetic, fast"
Midnight in Shadows,Crowander,Experimental,2003,162,0.51,0.45,0.44,fast
Serenity of Light,Steve Combs,Folk,2022,85,0.53,0.15,0.14,"melancholic, instrumental"
Midnight of Time,Kai Engel,Experimental,2014,102,0.11,0.54,0.62,happy
Rhythm in Motion,Dexter Britain,Electronic,1977,97,0.97,0.4,0.98,"acoustic, happy"
Reflections of Hope,Josh Woodward,Ambient,2017,91,0.24,0.01,0.15,"melancholic, instrumental"
Motion of the Sea,Kai Engel,Reggae,1976,154,0.76,0.91,0.68,"acoustic, energetic, happy, fast"
Reflections of Silence,FMA Allstars,Ambient,1993,147,0.42,0.61,0.6,"fast, instrumental"
Rhythm from Within,Kai Engel,Soul,2012,161,0.45,0.84,0.66,"energetic, happy, fast"
Lost of Light,Broke For Free,Ambient,1988,127,0.82,0.5,0.83,"acoustic, happy, instrumental"
Echoes of the Sea,Lobo Loco,Folk,2005,118,0.97,0.11,0.74,"acoustic, happy, instrumental"
Lost from Within,Fleslit,Country,1983,114,0.04,0.28,0.28,melancholic
Midnight of Silence,Nicolai Heidlas Music,Soul,1990,118,0.74,0.66,0.45,acoustic
Sunset of the Sea,Sergey Cheremisinov,Jazz,2000,115,0.65,0.92,0.58,energetic
Lost of Light,Dexter Britain,Hip-Hop,2010,111,0.54,0.62,0.25,melancholic
Voices Awakening,Kai Engel,World,2019,144,0.38,0.91,0.53,"energetic, fast"
Dreams Awakening,Scott Holmes,Folk,1982,164,0.5,0.89,0.46,"energetic, fast, instrumental"
Lost of the Sea,Josh Woodward,Rock,2003,162,0.27,0.26,0.74,"happy, fast"
Sunset Awakening,Loyalty Freak Music,Hip-Hop,2002,98,0.93,0.18,0.06,"acoustic, melancholic"
Dreams of Hope,Ketsa,Rock,1984,71,0.13,0.67,0.21,"melancholic, slow"
Dreams of Time,Josh Woodward,Classical,1981,80,0.15,0.76,0.05,"energetic, melancholic, instrumental"
Voices of Light,Komiku,Ambient,1989,135,0.71,0.56,0.15,"acoustic, melancholic, fast, instrumental"
Motion of Hope,Loyalty Freak Music,Classical,1979,150,0.47,0.8,0.66,"energetic, happy, fast, instrumental"
Sunset of Hope,Doctor Turtle,Folk,1987,166,0.63,0.97,0.26,"energetic, melancholic, fast, instrumental"
Echoes of Time,Sergey Cheremisinov,Electronic,1975,172,0.61,0.17,0.42,fast
Rhythm from Within,Ketsa,Folk,1990,172,0.72,0.48,0.96,"acoustic, happy, fast, instrumental"
Colors in Shadows,Dexter Britain,World,1992,161,0.14,0.1,0.36,fast
Dreams from Within,Dexter Britain,Blues,2019,81,0.7,0.33,0.33,neutral
Voices of Light,Jahzzar,Country,1974,171,0.33,0.09,0.66,"happy, fast"
Rhythm of Time,HoliznaCC0,Rock,2019,72,0.69,0.76,0.23,"energetic, melancholic, slow"
Reflections Awakening,Ketsa,Ambient,1996,85,0.35,0.58,0.96,"happy, instrumental"
Dreams of Time,Sergey Cheremisinov,Hip-Hop,1976,76,0.83,0.71,0.58,"acoustic, energetic, slow"
Sunset of Silence,Ketsa,Instrumental,1971,138,0.85,0.52,0.87,"acoustic, happy, fast"
Lost in Blue,Nicolai Heidlas Music,Hip-Hop,1999,72,0.63,0.02,0.66,"happy, slow"
Serenity in Blue,Josh Woodward,Classical,2015,134,0.27,0.21,0.03,"melancholic, fast, instrumental"
Serenity of Silence,Broke For Free,Soul,2017,128,0.41,0.46,0.9,happy
Motion Awakening,Broke For Free,Country,1971,132,0.36,0.17,0.02,"melancholic, fast"
Motion from Within,Dexter Britain,Electronic,2019,110,0.18,0.83,0.71,"energetic, happy"
Midnight of Hope,Jahzzar,Instrumental,1971,173,0.07,0.01,0.54,fast
Lost of Hope,Kai Engel,Ambient,1994,158,0.62,0.33,0.62,"happy, fast, instrumental"
Midnight from Within,Sixty Miles Ahead,Jazz,1988,88,0.45,0.5,0.72,happy
Serenity in Shadows,Komiku,Hip-Hop,1987,66,0.07,0.45,0.37,slow
Colors of the Sea,Loyalty Freak Music,Folk,1976,95,0.63,0.24,0.09,"melancholic, instrumental"
Lost of the Sea,Josh Woodward,Reggae,2002,95,0.6,0.95,0.65,"energetic, happy"
Sunset in Blue,Unheard Music Concepts,Pop,1986,123,0.52,0.64,0.87,happy
Serenity in Motion,Kai Engel,Experimental,2018,102,0.11,0.13,0.67,happy
Dreams of Silence,Unheard Music Concepts,Classical,1995,91,0.47,0.96,0.43,"energetic, instrumental"
Sunset in Blue,FMA Allstars,Folk,1980,79,0.51,0.05,0.53,"slow, instrumental"
Sunset Awakening,Broke For Free,Rock,2006,76,0.12,0.69,0.61,"happy, slow"
Lost of Silence,Lobo Loco,Rock,1995,152,0.25,0.99,0.52,"energetic, fast"
Dreams of Hope,Kai Engel,Soul,1985,106,1.0,0.68,0.01,"acoustic, melancholic"
Midnight in Blue,Loyalty Freak Music,Rock,2010,157,0.97,0.52,0.17,"acoustic, melancholic, fast"
Sunset Awakening,Dexter Britain,Classical,2003,133,0.89,0.18,0.07,"acoustic, melancholic, fast, instrumental"
Rhythm in Motion,Loyalty Freak Music,Folk,2012,112,0.49,0.57,0.29,"melancholic, instrumental"
Voices in Motion,Doctor Turtle,Classical,1970,85,0.73,0.74,0.32,"acoustic, energetic, instrumental"
Dreams Awakening,Kevin MacLeod,Soul,2014,106,0.11,0.1,0.24,melancholic
Voices of Hope,Scott Holmes,Reggae,2002,80,0.43,0.8,0.9,"energetic, happy"
Reflections of Hope,Chris Zabriskie,Soul,2003,127,0.7,0.61,0.75,happy
Motion of Hope,Fleslit,Blues,2001,170,0.31,0.07,0.01,"melancholic, fast"
Reflections in Blue,Kai Engel,Soul,2003,150,0.84,0.8,0.2,"acoustic, energetic, melancholic, fast"
Lost of Time,Komiku,Jazz,2004,68,0.79,0.61,0.95,"acoustic, happy, slow"
Rhythm of Time,Ryan Little,Instrumental,2001,143,0.28,0.82,0.55,"energetic, fast"
Reflections of Hope,Broke For Free,Ambient,2011,157,0.04,0.2,0.52,"fast, instrumental"
Echoes Awakening,Fleslit,Electronic,2003,63,0.63,0.32,0.52,slow
Midnight Awakening,Steve Combs,World,2023,176,0.23,0.91,0.97,"energetic, happy, fast"
Serenity Awakening,Doctor Turtle,Country,1989,117,0.75,0.94,0.93,"acoustic, energetic, happy"
Serenity Awakening,Kai Engel,Pop,2002,127,0.56,0.97,0.68,"energetic, happy"
Sunset of Light,Ryan Little,Country,2001,134,0.87,0.02,0.54,"acoustic, fast"
Motion of Silence,Fleslit,Electronic,1994,82,0.07,0.43,0.78,happy
Serenity of Time,Blue Dot Sessions,Electronic,2001,130,0.44,0.96,0.26,"energetic, melancholic"
Echoes in Shadows,Ryan Little,Electronic,1971,77,0.86,0.66,0.72,"acoustic, happy, slow"
Reflections in Blue,Nicolai Heidlas Music,Blues,2020,93,0.82,0.47,0.44,acoustic
Motion in Shadows,Josh Woodward,Rock,1984,155,0.83,0.14,0.1,"acoustic, melancholic, fast"
Echoes of Hope,Komiku,Blues,1974,88,0.08,0.51,0.28,melancholic
Serenity of Hope,HoliznaCC0,Hip-Hop,2005,65,0.48,0.78,0.75,"energetic, happy, slow"
Voices in Shadows,Ketsa,Folk,2009,176,0.6,0.58,0.36,"fast, instrumental"
Motion of Light,FMA Allstars,Hip-Hop,1986,101,0.54,0.4,0.72,happy
Dreams in Motion,Steve Combs,Reggae,1992,103,0.01,1.0,0.56,energetic
Voices of the Sea,Fleslit,Ambient,2019,159,0.77,0.13,0.99,"acoustic, happy, fast, instrumental"
Midnight of Time,Doctor Turtle,Instrumental,2018,93,0.74,0.87,0.4,"acoustic, energetic"
Lost in Motion,Jahzzar,Pop,2012,65,0.49,0.18,0.69,"happy, slow"
Echoes in Blue,Blue Dot Sessions,World,1973,103,0.15,0.27,0.4,neutral
Serenity of Time,Lobo Loco,Jazz,1971,87,0.17,0.88,0.09,"energetic, melancholic"
Voices of Hope,FMA Allstars,Folk,2002,90,0.01,0.3,0.85,"happy, instrumental"
Rhythm Awakening,HoliznaCC0,Jazz,1984,71,0.55,0.21,0.01,"melancholic, slow"
Dreams of the Sea,Kai Engel,Reggae,1986,153,0.7,0.23,0.75,"happy, fast"
Voices of Hope,Broke For Free,Electronic,1973,109,0.67,0.96,0.77,"energetic, happy"
Colors of Light,Loyalty Freak Music,Pop,1971,124,0.53,0.94,0.33,energetic
Serenity of Hope,Josh Woodward,Electronic,1993,136,0.42,0.73,0.23,"energetic, melancholic, fast"
Motion of Time,Komiku,Ambient,2011,145,0.7,0.55,0.63,"happy, fast, instrumental"
Voices in Shadows,Sergey Cheremisinov,Experimental,2022,74,0.55,0.99,0.41,"energetic, slow"
Lost Awakening,Komiku,Reggae,1972,153,0.59,0.65,0.84,"happy, fast"
Colors Awakening,Kai Engel,Experimental,2012,85,0.09,0.48,0.74,happy
Echoes Awakening,Sixty Miles Ahead,Folk,1977,109,0.98,0.87,0.52,"acoustic, energetic, instrumental"
Reflections in Blue,Scott Holmes,Ambient,2018,67,0.02,0.61,0.33,"slow, instrumental"
Midnight of Time,Sergey Cheremisinov,Instrumental,2019,83,0.66,0.51,0.88,happy
Voices of Silence,Scott Holmes,Rock,1983,141,0.71,0.66,0.44,"acoustic, fast"
Sunset from Within,Lobo Loco,Pop,2009,78,0.4,0.26,0.61,"happy, slow"
Colors in Blue,Doctor Turtle,Experimental,1977,117,0.71,0.08,0.39,acoustic
Rhythm of Light,Unheard Music Concepts,Classical,2000,162,0.96,0.71,0.76,"acoustic, energetic, happy, fast, instrumental"
Voices in Shadows,Dexter Britain,Folk,1972,68,0.74,0.52,0.78,"acoustic, happy, slow, instrumental"
Colors of Light,Broke For Free,Blues,1971,91,0.79,0.45,0.61,"acoustic, happy"
Lost from Within,Kevin MacLeod,Reggae,1975,106,0.22,0.86,0.44,energetic
Sunset of the Sea,Blue Dot Sessions,Experimental,1999,108,0.61,0.84,0.84,"energetic, happy"
Colors in Motion,Ryan Little,Classical,2001,61,0.22,0.29,0.8,"happy, slow, instrumental"
Colors in Blue,Josh Woodward,Pop,2004,117,0.64,0.45,0.23,melancholic
Rhythm of Light,Ryan Little,Jazz,1987,76,0.85,0.69,0.91,"acoustic, happy, slow"
Lost in Motion,Unheard Music Concepts,Hip-Hop,1985,179,0.39,0.56,0.84,"happy, fast"
Lost from Within,Scott Holmes,World,2001,82,0.22,0.74,0.83,"energetic, happy"
Rhythm from Within,Komiku,Instrumental,1974,163,0.9,0.06,0.65,"acoustic, happy, fast"
Echoes Awakening,Scott Holmes,Ambient,1994,123,0.27,0.74,0.76,"energetic, happy, instrumental"
Voices of Hope,Sergey Cheremisinov,Ambient,2022,80,0.3,0.26,0.75,"happy, instrumental"
Serenity of Time,Josh Woodward,Folk,1983,161,0.99,0.13,0.13,"acoustic, melancholic, fast, instrumental"
Rhythm in Shadows,Lobo Loco,Country,1988,124,0.95,0.35,0.37,acoustic
Echoes of the Sea,Loyalty Freak Music,Hip-Hop,1979,90,0.84,0.65,0.82,"acoustic, happy"
Serenity of Time,Blue Dot Sessions,Jazz,1988,126,0.12,0.55,0.83,happy
Motion Awakening,FMA Allstars,Instrumental,1992,105,0.78,0.02,0.52,acoustic
Voices in Blue,Kevin MacLeod,Country,2017,63,0.42,0.37,0.29,"melancholic, slow"
Reflections in Blue,FMA Allstars,Blues,2005,75,0.42,0.16,0.89,"happy, slow"
Midnight Awakening,Unheard Music Concepts,Ambient,2012,171,0.28,0.63,0.12,"melancholic, fast, instrumental"
Dreams of Time,Komiku,Soul,1971,119,0.29,0.25,0.06,melancholic
Rhythm Awakening,Kevin MacLeod,Blues,2023,136,0.2,0.24,0.76,"happy, fast"
Rhythm in Motion,HoliznaCC0,Ambient,2023,122,0.33,0.64,0.68,"happy, instrumental"
Sunset in Shadows,Crowander,World,1999,137,0.06,0.37,0.65,"happy, fast"
Motion in Motion,Jahzzar,Country,1978,74,0.4,0.7,0.87,"happy, slow"
Voices of Silence,Ketsa,Instrumental,2011,101,0.51,0.43,0.44,neutral
Motion in Shadows,Unheard Music Concepts,Hip-Hop,2016,125,0.99,0.42,0.61,"acoustic, happy"
Motion in Motion,Unheard Music Concepts,Soul,2007,72,0.19,0.37,0.84,"happy, slow"
Lost of Light,Jahzzar,Electronic,1975,68,0.69,0.53,0.71,"happy, slow"
Midnight of Silence,Ryan Little,Folk,1999,164,0.26,0.98,0.99,"energetic, happy, fast, instrumental"
Reflections in Shadows,Kai Engel,Classical,1978,160,0.31,0.38,0.8,"happy, fast, instrumental"
Reflections in Motion,Sixty Miles Ahead,Soul,1975,82,0.93,0.05,0.25,"acoustic, melancholic"
Sunset of the Sea,Josh Woodward,Rock,1978,100,0.56,0.17,0.19,melancholic
Dreams Awakening,Nicolai Heidlas Music,Soul,2005,62,0.84,0.39,0.96,"acoustic, happy, slow"
Colors of Time,Unheard Music Concepts,Blues,2002,65,0.97,0.86,0.85,"acoustic, energetic, happy, slow"
Rhythm in Blue,Chris Zabriskie,Reggae,2015,127,0.55,0.39,0.94,happy
Midnight of Hope,Doctor Turtle,Rock,1991,66,0.85,0.83,0.24,"acoustic, energetic, melancholic, slow"
Dreams in Motion,Kai Engel,Reggae,2008,170,0.93,0.27,0.7,"acoustic, happy, fast"
Echoes of Hope,Ketsa,World,1984,97,0.42,0.73,0.09,"energetic, melancholic"
Colors in Motion,Komiku,Country,1977,139,0.11,0.17,0.95,"happy, fast"
Dreams in Blue,FMA Allstars,Blues,1995,80,0.48,0.85,0.52,energetic
Colors of Silence,Crowander,Jazz,1989,106,0.3,0.65,0.4,neutral
Midnight Awakening,Kevin MacLeod,Rock,2016,159,0.86,0.51,0.78,"acoustic, happy, fast"
Motion in Shadows,Kevin MacLeod,Soul,1993,125,0.95,0.99,0.92,"acoustic, energetic, happy"
Voices of the Sea,Unheard Music Concepts,Experimental,2013,107,0.05,0.66,0.68,happy
Echoes Awakening,Nicolai Heidlas Music,Pop,2009,98,0.46,0.98,0.13,"energetic, melancholic"
Serenity Awakening,Lobo Loco,World,1995,158,0.22,0.63,0.03,"melancholic, fast"
Lost of Hope,Kevin MacLeod,Jazz,1987,144,0.48,0.94,0.96,"energetic, happy, fast"
Reflections from Within,Chris Zabriskie,Country,1987,68,0.08,0.69,0.7,"happy, slow"
Colors of Silence,Scott Holmes,Rock,2021,74,0.32,0.54,0.49,slow
Sunset of Silence,Blue Dot Sessions,Country,1995,101,0.11,0.37,0.29,melancholic
Sunset of the Sea,Doctor Turtle,World,2012,88,0.41,0.4,0.41,neutral
Dreams in Shadows,Scott Holmes,Reggae,1974,161,0.05,0.43,0.29,"melancholic, fast"
Colors in Blue,Nicolai Heidlas Music,Reggae,2006,120,0.68,0.16,0.73,happy
Reflections of Time,Unheard Music Concepts,Soul,2007,105,0.92,0.53,0.31,acoustic
Lost of Light,Kevin MacLeod,Blues,1972,78,0.89,1.0,0.19,"acoustic, energetic, melancholic, slow"
Voices in Blue,Doctor Turtle,Hip-Hop,2014,74,0.5,0.67,0.22,"melancholic, slow"
Voices of Time,Josh Woodward,Electronic,1991,110,0.11,0.04,0.42,neutral
Colors in Blue,Steve Combs,Jazz,2019,112,0.81,0.26,0.93,"acoustic, happy"
Reflections of Light,Crowander,Country,2008,66,0.54,0.85,0.65,"energetic, happy, slow"
Rhythm of Hope,Steve Combs,Folk,1970,66,0.19,0.58,0.32,"slow, instrumental"
Midnight of Light,Unheard Music Concepts,Classical,1993,63,0.64,0.11,0.38,"slow, instrumental"
Lost of Light,Jahzzar,Rock,2012,178,0.8,0.51,0.86,"acoustic, happy, fast"
Dreams in Blue,Steve Combs,Country,2023,78,0.31,0.22,0.41,slow
Midnight of Light,Blue Dot Sessions,Country,2019,99,0.73,0.94,0.29,"acoustic, energetic, melancholic"
Dreams in Motion,Sixty Miles Ahead,Pop,1998,147,0.33,0.68,0.69,"happy, fast"
Colors of Silence,Doctor Turtle,Reggae,1988,79,0.77,0.51,0.39,"acoustic, slow"
Motion of Light,Loyalty Freak Music,Pop,1988,115,0.58,0.73,0.77,"energetic, happy"
Motion of Silence,Loyalty Freak Music,Rock,1991,139,0.85,0.51,0.23,"acoustic, melancholic, fast"
Voices Awakening,Komiku,Electronic,1996,109,0.26,0.37,0.58,neutral
Reflections of Light,Nicolai Heidlas Music,Soul,1986,113,0.76,0.66,0.83,"acoustic, happy"
Voices in Shadows,Sixty Miles Ahead,Reggae,2020,74,0.29,0.28,0.83,"happy, slow"
Sunset Awakening,Kai Engel,Soul,2019,165,0.48,0.65,0.07,"melancholic, fast"
Voices in Blue,Loyalty Freak Music,Reggae,2009,141,0.88,0.8,0.0,"acoustic, energetic, melancholic, fast"
Serenity in Motion,Broke For Free,Ambient,1980,130,0.68,0.8,0.04,"energetic, melancholic, instrumental"
Motion of Time,Kai Engel,Reggae,1971,112,0.83,0.23,0.82,"acoustic, happy"
Echoes of Light,Blue Dot Sessions,Reggae,1985,122,0.61,0.47,0.58,neutral
Serenity of Hope,Doctor Turtle,Ambient,1976,80,0.61,0.92,0.29,"energetic, melancholic, instrumental"
Voices of Time,Nicolai Heidlas Music,Electronic,1991,175,0.93,0.14,0.61,"acoustic, happy, fast"
Reflections in Blue,Scott Holmes,Electronic,2009,175,0.22,0.18,0.35,fast
Motion of Time,Ketsa,World,1971,69,0.83,0.15,0.99,"acoustic, happy, slow"
Midnight Awakening,Blue Dot Sessions,Soul,2007,152,0.62,0.02,0.4,fast
Midnight in Blue,Fleslit,Hip-Hop,2003,68,0.87,0.3,0.55,"acoustic, slow"
Lost of Hope,HoliznaCC0,Classical,1976,60,0.98,0.44,0.78,"acoustic, happy, slow, instrumental"
Colors of Silence,Crowander,Experimental,1997,144,0.28,0.97,0.24,"energetic, melancholic, fast"
Midnight of the Sea,Komiku,Soul,2017,121,0.9,0.27,0.58,acoustic
Lost Awakening,Crowander,Experimental,1978,70,0.2,0.89,0.36,"energetic, slow"
Reflections of Light,Sergey Cheremisinov,Soul,2021,169,0.39,0.49,0.48,fast
Reflections in Blue,Dexter Britain,World,2007,160,0.97,0.24,0.66,"acoustic, happy, fast"
Sunset of Light,Jahzzar,Experimental,2021,129,0.17,0.37,0.57,neutral
Sunset of Silence,Kai Engel,Country,2005,60,0.31,0.72,0.41,"energetic, slow"
Reflections from Within,Chris Zabriskie,Classical,1971,120,0.91,0.37,0.3,"acoustic, instrumental"
Serenity of Silence,Kai Engel,Soul,1987,104,0.38,0.43,0.35,neutral
Echoes from Within,Scott Holmes,Rock,2019,99,0.53,0.42,0.36,neutral
Dreams of Time,Sergey Cheremisinov,Pop,1986,135,0.26,0.64,0.22,"melancholic, fast"
Lost from Within,Blue Dot Sessions,Experimental,1980,70,0.5,0.9,0.67,"energetic, happy, slow"
Midnight of Light,Steve Combs,World,1970,70,0.52,0.0,0.43,slow
Voices of the Sea,Fleslit,Reggae,1970,84,0.97,0.56,0.35,acoustic
Lost in Blue,Kai Engel,Electronic,2002,72,0.44,0.87,0.41,"energetic, slow"
Serenity of the Sea,Chris Zabriskie,Country,1999,81,0.99,0.13,0.43,acoustic
Sunset of Silence,Kevin MacLeod,Electronic,1971,121,0.42,0.03,0.29,melancholic
Echoes of Silence,Scott Holmes,Pop,1971,90,0.11,0.96,0.39,energetic
Midnight Awakening,Chris Zabriskie,Country,2006,83,0.62,0.79,0.61,"energetic, happy"
Serenity of Silence,Ryan Little,Electronic,2012,135,0.58,0.76,0.89,"energetic, happy, fast"
Rhythm from Within,Chris Zabriskie,Jazz,1991,75,0.8,0.07,0.29,"acoustic, melancholic, slow"
Midnight of Hope,Scott Holmes,Folk,2006,113,0.58,0.57,0.19,"melancholic, instrumental"
Echoes of Light,Ketsa,Electronic,1975,67,0.82,0.58,0.16,"acoustic, melancholic, slow"
Voices in Motion,Kevin MacLeod,Jazz,1973,165,0.55,0.22,0.03,"melancholic, fast"
Midnight Awakening,Jahzzar,Soul,1971,95,0.84,0.85,0.9,"acoustic, energetic, happy"
Voices of Hope,Sixty Miles Ahead,Ambient,2006,123,0.51,0.61,0.69,"happy, instrumental"
Serenity in Blue,FMA Allstars,Rock,2020,100,0.52,0.73,0.08,"energetic, melancholic"
Rhythm in Shadows,Loyalty Freak Music,Classical,1986,114,0.52,0.95,0.72,"energetic, happy, instrumental"
Dreams in Blue,Sergey Cheremisinov,Folk,1991,95,0.79,0.6,0.35,"acoustic, instrumental"
Reflections in Motion,Sixty Miles Ahead,Instrumental,2003,89,0.46,0.77,0.57,energetic
Lost of the Sea,Chris Zabriskie,Country,1973,179,0.19,0.23,0.34,fast
Motion in Blue,Fleslit,Soul,2021,167,0.68,0.19,0.47,fast
Voices of Light,Unheard Music Concepts,Electronic,1977,113,0.9,0.13,0.9,"acoustic, happy"
Midnight in Shadows,Crowander,Instrumental,1998,119,0.14,0.53,0.83,happy
